,Location ID,Volume Count Start Date,Volume Count Total,day_of_week
0,33,2018-01-05,187325,Friday
1,33,2018-01-06,156569,Saturday
2,33,2018-01-07,127250,Sunday
3,33,2018-01-08,162053,Monday
4,33,2018-01-09,180830,Tuesday
5,33,2018-01-10,180158,Wednesday
6,33,2018-01-11,183796,Thursday
7,33,2018-01-31,184121,Wednesday
8,33,2018-02-01,180575,Thursday
9,33,2018-02-02,194194,Friday
10,33,2018-02-03,166767,Saturday
11,33,2018-02-04,130324,Sunday
12,33,2018-02-05,172129,Monday
13,33,2018-02-06,178251,Tuesday
14,33,2018-02-07,169150,Wednesday
15,33,2018-02-08,186643,Thursday
16,33,2018-02-09,198736,Friday
17,33,2018-02-10,144665,Saturday
18,33,2018-02-11,127988,Sunday
19,33,2018-02-12,177458,Monday
20,33,2018-02-13,187680,Tuesday
21,33,2018-02-14,176165,Wednesday
22,33,2018-02-15,190483,Thursday
23,33,2018-02-16,195355,Friday
24,33,2018-02-17,151866,Saturday
25,33,2018-02-18,146231,Sunday
26,33,2018-02-19,183159,Monday
27,33,2018-02-20,186281,Tuesday
28,33,2018-02-21,179834,Wednesday
29,33,2018-02-28,178452,Wednesday
30,33,2018-03-02,174951,Friday
31,33,2018-03-03,149442,Saturday
32,33,2018-03-04,176162,Sunday
33,33,2018-03-05,186568,Monday
34,33,2018-03-06,187092,Tuesday
35,33,2018-03-07,192352,Wednesday
36,33,2018-03-08,206125,Thursday
37,33,2018-03-09,180172,Friday
38,33,2018-03-10,139793,Saturday
39,33,2018-03-12,186637,Monday
40,33,2018-03-13,192246,Tuesday
41,33,2018-03-14,195915,Wednesday
42,33,2018-03-15,201556,Thursday
43,33,2018-03-16,186810,Friday
44,33,2018-03-17,155208,Saturday
45,33,2018-03-18,176743,Sunday
46,33,2018-03-19,179085,Monday
47,33,2018-03-20,185863,Tuesday
48,33,2018-03-21,195923,Wednesday
49,33,2018-03-22,212218,Thursday
50,33,2018-03-23,184958,Friday
51,33,2018-03-24,153829,Saturday
52,33,2018-05-08,189439,Tuesday
53,33,2018-05-09,194073,Wednesday
54,33,2018-05-10,192193,Thursday
55,33,2018-05-11,202544,Friday
56,33,2018-05-12,180400,Saturday
57,33,2018-05-13,156464,Sunday
58,33,2018-05-14,184161,Monday
59,33,2018-05-15,193516,Tuesday
60,33,2018-05-16,189010,Wednesday
61,33,2018-05-17,185549,Thursday
62,33,2018-05-18,201911,Friday
63,33,2018-05-19,181589,Saturday
64,33,2018-05-20,155300,Sunday
65,33,2018-05-21,183800,Monday
66,33,2018-05-22,187890,Tuesday
67,33,2018-05-23,195535,Wednesday
68,33,2018-05-24,199028,Thursday
69,33,2018-05-25,208689,Friday
70,33,2018-05-26,167657,Saturday
71,33,2018-05-27,148669,Sunday
72,33,2018-05-28,134551,Monday
73,33,2018-05-29,176042,Tuesday
74,33,2018-05-30,188161,Wednesday
75,33,2018-05-31,193670,Thursday
76,33,2018-06-01,202071,Friday
77,33,2018-06-02,182542,Saturday
78,33,2018-06-03,153984,Sunday
79,33,2018-06-04,186015,Monday
80,33,2018-06-05,193151,Tuesday
81,33,2018-06-06,194748,Wednesday
82,33,2018-06-07,197802,Thursday
83,33,2018-06-08,199458,Friday
84,33,2018-06-09,183811,Saturday
85,33,2018-06-10,146688,Sunday
86,33,2018-06-11,184060,Monday
87,33,2018-06-12,186324,Tuesday
88,33,2018-06-13,188331,Wednesday
89,33,2018-06-14,186932,Thursday
90,33,2018-06-15,198738,Friday
91,33,2018-06-16,171020,Saturday
92,33,2018-06-17,146888,Sunday
93,33,2018-06-18,182746,Monday
94,33,2018-06-19,182670,Tuesday
95,33,2018-06-20,186792,Wednesday
96,33,2018-06-25,168639,Monday
97,33,2018-06-26,176401,Tuesday
98,33,2018-06-27,178849,Wednesday
99,33,2018-06-28,181112,Thursday
100,33,2018-06-29,199927,Friday
101,33,2018-06-30,172317,Saturday
102,33,2018-07-01,143505,Sunday
103,33,2018-07-02,174608,Monday
104,33,2018-07-03,176620,Tuesday
105,33,2018-07-04,125123,Wednesday
106,33,2018-07-05,174931,Thursday
107,33,2018-07-06,179937,Friday
108,33,2018-07-07,165191,Saturday
109,33,2018-07-08,143923,Sunday
110,33,2018-07-09,179558,Monday
111,33,2018-07-10,176856,Tuesday
112,33,2018-07-11,150050,Wednesday
113,33,2018-07-12,164673,Thursday
114,33,2018-07-13,189963,Friday
115,33,2018-07-14,167820,Saturday
116,33,2018-07-15,133672,Sunday
117,33,2018-07-16,155535,Monday
118,33,2018-07-17,127044,Tuesday
119,33,2018-07-18,137936,Wednesday
120,33,2018-07-19,169426,Thursday
121,33,2018-07-20,193153,Friday
122,33,2018-07-21,165057,Saturday
123,33,2018-07-22,145444,Sunday
124,33,2018-07-23,182541,Monday
125,33,2018-07-24,184208,Tuesday
126,33,2018-07-25,181918,Wednesday
127,33,2018-07-26,190796,Thursday
128,33,2018-07-27,190964,Friday
129,33,2018-07-28,159456,Saturday
130,33,2018-07-29,144360,Sunday
131,33,2018-07-30,178883,Monday
132,33,2018-07-31,180358,Tuesday
133,33,2018-08-01,179765,Wednesday
134,33,2018-08-03,189213,Friday
135,33,2018-08-04,156295,Saturday
136,33,2018-08-05,140075,Sunday
137,33,2018-08-06,175548,Monday
138,33,2018-08-07,182143,Tuesday
139,33,2018-08-08,179464,Wednesday
140,33,2018-08-09,182704,Thursday
141,33,2018-08-10,191628,Friday
142,33,2018-08-11,161606,Saturday
143,33,2018-08-12,142516,Sunday
144,33,2018-08-13,177580,Monday
145,33,2018-08-14,176823,Tuesday
146,33,2018-08-15,181503,Wednesday
147,33,2018-08-16,174677,Thursday
148,33,2018-08-17,194458,Friday
149,33,2018-08-18,153742,Saturday
150,33,2018-08-19,143776,Sunday
151,33,2018-08-20,167674,Monday
152,33,2018-08-21,175814,Tuesday
153,33,2018-08-22,175975,Wednesday
154,33,2018-08-23,185265,Thursday
155,33,2018-08-24,191262,Friday
156,33,2018-08-25,156290,Saturday
157,33,2018-08-26,141197,Sunday
158,33,2018-08-27,173841,Monday
159,33,2018-08-28,179922,Tuesday
160,33,2018-08-29,176118,Wednesday
161,33,2018-08-30,181976,Thursday
162,33,2018-08-31,190598,Friday
163,33,2018-09-01,156442,Saturday
164,33,2018-09-02,133964,Sunday
165,33,2018-09-03,130680,Monday
166,33,2018-09-04,171032,Tuesday
167,33,2018-09-06,170843,Thursday
168,33,2018-09-10,129080,Monday
169,33,2018-09-11,128670,Tuesday
170,33,2018-09-12,141395,Wednesday
171,33,2018-09-13,192362,Thursday
172,33,2018-09-14,206631,Friday
173,33,2018-09-15,181944,Saturday
174,33,2018-09-16,155737,Sunday
175,33,2018-09-17,187876,Monday
176,33,2018-09-18,180529,Tuesday
177,33,2018-09-19,168303,Wednesday
178,33,2018-09-20,177162,Thursday
179,33,2018-09-21,181125,Friday
180,33,2018-09-22,152279,Saturday
181,33,2018-09-23,124068,Sunday
182,33,2018-09-24,152908,Monday
183,33,2018-09-25,160208,Tuesday
184,33,2018-09-26,153455,Wednesday
185,33,2018-09-27,156514,Thursday
186,33,2018-09-29,152387,Saturday
187,33,2018-09-30,137129,Sunday
188,33,2018-10-01,164905,Monday
189,33,2018-10-03,166939,Wednesday
190,33,2018-10-04,170642,Thursday
191,33,2018-10-05,169196,Friday
192,33,2018-10-06,155551,Saturday
193,33,2018-10-08,165290,Monday
194,33,2018-10-09,169933,Tuesday
195,33,2018-10-10,155915,Wednesday
196,33,2018-10-11,169530,Thursday
197,33,2018-10-12,176963,Friday
198,33,2018-10-13,157107,Saturday
199,33,2018-10-14,128422,Sunday
200,33,2018-10-15,146975,Monday
201,33,2018-10-16,154883,Tuesday
202,33,2018-10-17,165179,Wednesday
203,33,2018-10-18,169340,Thursday
204,33,2018-10-19,175725,Friday
205,33,2018-10-21,136505,Sunday
206,33,2018-10-22,165190,Monday
207,33,2018-10-23,161796,Tuesday
208,33,2018-10-24,163111,Wednesday
209,33,2018-10-27,149496,Saturday
210,33,2018-10-28,131749,Sunday
211,33,2018-10-29,159105,Monday
212,33,2018-10-30,165799,Tuesday
213,33,2018-11-01,152880,Thursday
214,33,2018-11-02,171363,Friday
215,33,2018-11-03,149093,Saturday
216,33,2018-11-04,121996,Sunday
217,33,2018-11-05,159454,Monday
218,33,2018-11-06,156255,Tuesday
219,33,2018-11-21,161445,Wednesday
220,33,2018-11-22,114931,Thursday
221,33,2018-11-24,135452,Saturday
222,33,2019-01-11,165880,Friday
223,33,2019-01-13,126839,Sunday
224,33,2019-01-14,156103,Monday
225,33,2019-01-15,165711,Tuesday
226,33,2019-01-16,163702,Wednesday
227,33,2019-01-17,175018,Thursday
228,33,2019-01-29,156551,Tuesday
229,33,2019-01-31,163468,Thursday
230,33,2019-02-01,170201,Friday
231,33,2019-02-02,146231,Saturday
232,33,2019-02-03,124973,Sunday
233,33,2019-02-04,159908,Monday
234,33,2019-02-05,157988,Tuesday
235,33,2019-02-06,165457,Wednesday
236,33,2019-02-07,170460,Thursday
237,33,2019-02-08,174333,Friday
238,33,2019-02-09,145770,Saturday
239,33,2019-02-10,124178,Sunday
240,33,2019-05-01,171632,Wednesday
241,33,2019-05-02,175765,Thursday
242,33,2019-05-05,151016,Sunday
243,33,2019-05-06,174221,Monday
244,33,2019-05-07,166612,Tuesday
245,33,2019-05-08,166714,Wednesday
246,33,2019-05-09,173800,Thursday
247,33,2019-05-10,183047,Friday
248,33,2019-05-11,162242,Saturday
249,33,2019-05-13,172962,Monday
250,33,2019-05-14,179609,Tuesday
251,33,2019-05-15,175143,Wednesday
252,33,2019-05-16,178471,Thursday
253,33,2019-05-17,185591,Friday
254,33,2019-05-18,172608,Saturday
255,33,2019-05-19,148944,Sunday
256,33,2019-05-20,174494,Monday
257,33,2019-05-21,178022,Tuesday
258,33,2019-05-22,177344,Wednesday
259,33,2019-05-23,182724,Thursday
260,33,2019-05-24,189832,Friday
261,33,2019-05-25,166826,Saturday
262,33,2019-05-26,144025,Sunday
263,33,2019-05-27,132620,Monday
264,33,2019-05-28,175294,Tuesday
265,33,2019-05-29,173656,Wednesday
266,33,2019-05-30,176607,Thursday
267,33,2019-06-07,175678,Friday
268,33,2019-06-08,156050,Saturday
269,33,2019-06-09,134821,Sunday
270,33,2019-06-10,175464,Monday
271,33,2019-06-11,181808,Tuesday
272,33,2019-06-13,188906,Thursday
273,33,2019-06-14,171257,Friday
274,33,2019-06-15,153285,Saturday
275,33,2019-06-16,180077,Sunday
276,33,2019-06-17,172353,Monday
277,33,2019-06-18,181282,Tuesday
278,33,2019-06-19,176391,Wednesday
279,33,2019-06-20,189543,Thursday
280,33,2019-06-21,163914,Friday
281,33,2019-06-22,149496,Saturday
282,33,2019-06-23,171772,Sunday
283,33,2019-06-24,178074,Monday
284,33,2019-06-25,170465,Tuesday
285,33,2019-12-05,157886,Thursday
286,33,2019-12-06,163389,Friday
287,33,2019-12-07,151058,Saturday
288,33,2019-12-08,128659,Sunday
289,33,2019-12-10,160447,Tuesday
290,33,2019-12-11,163600,Wednesday
291,33,2019-12-12,158627,Thursday
292,33,2019-12-13,171956,Friday
293,33,2019-12-14,140592,Saturday
294,33,2019-12-16,141086,Monday
295,33,2019-12-17,160434,Tuesday
296,33,2019-12-18,161108,Wednesday
297,33,2019-12-19,163140,Thursday
298,33,2019-12-20,174725,Friday
299,33,2019-12-21,150434,Saturday
300,33,2019-12-23,150549,Monday
301,33,2019-12-24,128990,Tuesday
302,33,2019-12-25,94360,Wednesday
303,33,2019-12-26,145379,Thursday
304,33,2019-12-29,108689,Sunday
305,33,2019-12-30,154734,Monday
306,33,2019-12-31,151226,Tuesday
307,33,2020-05-08,154005,Friday
308,33,2020-06-21,138590,Sunday
309,33,2020-07-04,139451,Saturday
310,33,2020-08-02,143922,Sunday
311,33,2020-08-16,145982,Sunday
